Instances,Source,feature_efferent_coupling,feature_cyclomatic_complexity,feature_ck_loc,feature_ck_tryCatchQty,feature_ck_maxNestedBlocksQty,feature_avg_radius,feature_avg_avg_shortest_path_length,feature_std_wmc,feature_per_methods_cc_ge_10,algo_MOSA_BranchCoverage,algo_DYNAMOSA_BranchCoverage,algo_MONOTONIC_GA_BranchCoverage,algo_RANDOM_SEARCH_BranchCoverage,algo_MIO_BranchCoverage,algo_WSA_BranchCoverage
pdfsam_org.pdfsam.plugin.unpack.listeners.RunButtonActionListener,SF110-cc4,13,4.5,67,1,3,2,5.23128833531518,5.09901951359278,33.3333333333333,0.068965517241379,0.068965517241379,0.009852216748768,0,0.068965517241379,0.068965517241379
jiprof_org.objectweb.asm.jip.Label,SF110-cc3,4,3.54545454545455,169,0,4,2.45454545454545,1.26493506493507,3.57678464961927,9.09090909090909,0.983333333333333,0.98,0.476666666666667,0.129166666666667,0.956666666666667,0.9875
heal_org.heal.module.oai.provider.verb.ListMetadataFormats,SF110-cc3,7,3.33333333333333,50,0,2,2,0.974562474562475,2.44948974278318,0,0.578947368421052,0.771929824561404,0.140350877192982,0.105263157894737,0.605263157894737,0.6
templateit_org.templateit.WorkbookParser,SF110-cc5,15,5,116,0,8,3,2.54312834224599,5.93295878967653,20,0.328042328042328,0.268518518518519,0.040740740740741,0.022222222222222,0.305555555555555,0.37037037037037
saxpath_org.saxpath.Axis,SF110-cc5,0,5.66666666666667,89,0,1,1.66666666666667,0.716386554621849,0,100,1,1,1,1,1,1
jopenchart_de.progra.charting.model.DefaultChartDataModelConstraints,SF110-cc3,3,3.33333333333333,63,0,3,1.66666666666667,0.662229437229437,1.6996731711976,0,0.993333333333333,0.94,0.726666666666667,0.346666666666667,0.9,0.953333333333333
inspirento_com.allenstudio.ir.ui.MainMenu,SF110-cc4,4,4,91,3,5,2.25,12.9487468604472,4.74341649025257,25,0.740740740740741,0.740740740740741,0.503703703703704,0.433333333333333,0.740740740740741,0.740740740740741
Collections_org.apache.commons.collections4.functors.NOPTransformer,Collections,1,1,16,0,0,1,0.5,0,0,0.333333333333333,0.333333333333333,0.266666666666667,0.2,0.333333333333333,0.333333333333333
wheelwebtool_wheel.enhance.WheelAnnotatedField,SF110-cc3,2,3.83333333333333,240,0,3,1.66666666666667,0.81781954887218,3.97562014729219,16.6666666666667,0.997849462365591,1,0.680645161290323,0.817204301075269,1,1
weka_weka.experiment.ResultMatrixLatex,SF110-cc3,4,3.53333333333333,214,0,6,2.2,1.25459118070431,5.25187797099497,13.3333333333333,0.995348837209302,0.996124031007752,0.953488372093023,0.872093023255814,1,0.988372093023256
nutzenportfolio_ch.bfh.egov.nutzenportfolio.service.nutzenkriterium.NutzenkriteriumDaoService,SF110-cc3,20,3,569,5,4,2.35483870967742,1.0859419109495,3.33951250184814,9.375,0.177070063694268,0.177070063694268,0.006369426751592,0.007643312101911,0.208917197452229,0.207006369426752
feudalismgame_src.Battle,SF110-cc5,11,33.5555555555556,1035,1,10,5.44444444444444,8.81998475029001,27.8407861778363,75,0.00507614213198,0.00507614213198,0,0,0.00507614213198,0.00507614213198
vuze_com.aelitis.azureus.plugins.startstoprules.defaultplugin.SeedingRankColumnListener,SF110-cc5,11,7.66666666666667,69,0,8,2.33333333333333,0.81043771043771,9.42809041582063,33.3333333333333,0.17626404494382,0.071428571428572,0.006802721088435,0.084249084249084,0.071428571428572,0.204081632653061
vuze_org.gudy.azureus2.ui.swt.OpenUrlWindow,SF110-cc3,21,3,133,0,1,3,1.10416666666667,2.82842712474619,0,0.04,0.554679245283019,0,0,0.52,0.04
